Algorithm,Function,Run,Best_Fitness
A-POA,CEC2017_F12,7,7614.208869182274
A-POA,CEC2017_F12,8,9417.44155547364
A-POA,CEC2017_F12,9,12635.924636474378
A-POA,CEC2017_F12,10,10508.570634899395
A-POA,CEC2017_F12,11,6748.578199276585
A-POA,CEC2017_F12,12,7507.603034524815
A-POA,CEC2017_F12,13,13388.41521166839
A-POA,CEC2017_F12,14,6792.755968423858
A-POA,CEC2017_F12,15,11524.889790249896
A-POA,CEC2017_F12,16,4678.860774259239
A-POA,CEC2017_F12,17,6592.1472065590615
A-POA,CEC2017_F12,18,5571.136991307679
A-POA,CEC2017_F12,19,9367.724046546362
A-POA,CEC2017_F12,20,10762.968891717615
A-POA,CEC2017_F12,21,11190.78924079765
A-POA,CEC2017_F12,22,4769.801735762079
A-POA,CEC2017_F12,23,11556.343473018436
A-POA,CEC2017_F12,24,9329.605836625711
A-POA,CEC2017_F12,25,6640.465964896818
A-POA,CEC2017_F12,26,16478.249957149277
A-POA,CEC2017_F12,27,4371.174162807275
A-POA,CEC2017_F12,28,8201.289172477002
A-POA,CEC2017_F12,29,11307.867565609631
A-POA,CEC2017_F12,30,12294.009192701826
A-POA,CEC2017_F12,31,12477.939738069348
A-POA,CEC2017_F12,32,7332.130073091377
A-POA,CEC2017_F12,33,13968.870848657476
A-POA,CEC2017_F12,34,11952.326853100243
A-POA,CEC2017_F12,35,12292.244338500528
A-POA,CEC2017_F12,36,8544.336707872617
A-POA,CEC2017_F12,37,12825.764416878588
A-POA,CEC2017_F12,38,9798.865552076446
A-POA,CEC2017_F12,39,11105.185639815676
A-POA,CEC2017_F12,40,10689.326868528877
A-POA,CEC2017_F12,41,10214.814688124976
A-POA,CEC2017_F12,42,27721.13936734976
A-POA,CEC2017_F12,43,14531.18296238928
A-POA,CEC2017_F12,44,10134.074816494083
A-POA,CEC2017_F12,45,9169.5142899167
A-POA,CEC2017_F12,46,8942.966469190382
A-POA,CEC2017_F12,47,9218.127410625411
A-POA,CEC2017_F12,48,12203.645934129025
A-POA,CEC2017_F12,49,11239.153629649094
A-POA,CEC2017_F13,0,6629.38653001692
A-POA,CEC2017_F13,1,7342.118058022605
A-POA,CEC2017_F13,2,5376.833445109171
A-POA,CEC2017_F13,3,5646.851581769029
A-POA,CEC2017_F13,4,10765.702185885164
A-POA,CEC2017_F13,5,7648.78424997585
A-POA,CEC2017_F13,6,5802.732071756675
A-POA,CEC2017_F13,7,6724.239915414173
A-POA,CEC2017_F13,8,5207.604122813153
A-POA,CEC2017_F13,9,4985.833434493412
A-POA,CEC2017_F13,10,8750.795370690472
A-POA,CEC2017_F13,11,7576.141870795171
A-POA,CEC2017_F13,12,9190.84434739998
A-POA,CEC2017_F13,13,6155.951432040542
A-POA,CEC2017_F13,14,6503.430185704321
A-POA,CEC2017_F13,15,3001.949226440236
A-POA,CEC2017_F13,16,6738.650787368672
A-POA,CEC2017_F13,17,8091.674320523936
A-POA,CEC2017_F13,18,8081.1899444214205
A-POA,CEC2017_F13,19,7308.3617295241565
A-POA,CEC2017_F13,20,7100.348345792989
A-POA,CEC2017_F13,21,5718.949088685311
A-POA,CEC2017_F13,22,7461.155543159113
A-POA,CEC2017_F13,23,3611.153316500772
A-POA,CEC2017_F13,24,5658.773704593223
A-POA,CEC2017_F13,25,7663.383570633776
A-POA,CEC2017_F13,26,5932.4078319699065
A-POA,CEC2017_F13,27,11980.872477053068
A-POA,CEC2017_F13,28,7269.181903865508
